"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2020-Q1",1.00666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2020-Q2",0.896666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2020-Q3",0.89,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2020-Q4",0.89,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2021-Q1",1.36333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2021-Q2",1.62333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2021-Q3",1.22333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2021-Q4",1.71,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2022-Q1",2.17333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2022-Q2",3.38666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2022-Q3",3.53666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2022-Q4",3.73333333333333,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2023-Q1",3.6,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2023-Q2",4.09666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2023-Q3",4.09666666666667,
"AUS","LTINTFORECAST","TOT","PC_PA","Q","2023-Q4",4.09666666666667,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2020-Q1",-0.146,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2020-Q2",-0.0608333333333336,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2020-Q3",-0.281966666666667,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2020-Q4",-0.4106,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2021-Q1",-0.228366666666667,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2021-Q2",0.0207666666666667,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2021-Q3",-0.143733333333333,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2021-Q4",0.00980000000000009,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2022-Q1",0.480366666666667,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2022-Q2",1.6309,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2022-Q3",1.94693333333333,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2022-Q4",2.7864,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2023-Q1",2.97033333333333,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2023-Q2",3.164764822,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2023-Q3",3.474764822,
"AUT","LTINTFORECAST","TOT","PC_PA","Q","2023-Q4",3.684764822,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2020-Q1",-0.0599999999999995,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2020-Q2",0.046666666666666,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2020-Q3",-0.21,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2020-Q4",-0.37,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2021-Q1",-0.203333333333333,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2021-Q2",0.113333333333333,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2021-Q3",-0.053333333333333,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2021-Q4",0.0866666666666664,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2022-Q1",0.546666666666667,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2022-Q2",1.67,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2022-Q3",1.98666666666667,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2022-Q4",2.73,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2023-Q1",2.93,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2023-Q2",3.11443148866667,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2023-Q3",3.41443148866667,
"BEL","LTINTFORECAST","TOT","PC_PA","Q","2023-Q4",3.61443148866667,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2020-Q1",1.20203349282297,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2020-Q2",0.589835497835498,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2020-Q3",0.546462481962482,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2020-Q4",0.674103174603175,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2021-Q1",1.13383180778032,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2021-Q2",1.48839682539683,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2021-Q3",1.23544444444444,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2021-Q4",1.57757142857143,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2022-Q1",1.92354919908467,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2022-Q2",2.97934199134199,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2022-Q3",3.00869696969697,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2022-Q4",3.16273015873016,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2023-Q1",3.03510261160147,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2023-Q2",3.03510261160147,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2023-Q3",3.03510261160147,
"CAN","LTINTFORECAST","TOT","PC_PA","Q","2023-Q4",3.03510261160147,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2020-Q1",1.45666666666667,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2020-Q2",1.02,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2020-Q3",0.93,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2020-Q4",1.10666666666667,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2021-Q1",1.54666666666667,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2021-Q2",1.75666666666667,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2021-Q3",1.78666666666667,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2021-Q4",2.52666666666667,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2022-Q1",3.22666666666667,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2022-Q2",4.58,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2022-Q3",4.41,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2022-Q4",5.11333333333333,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2023-Q1",4.58333333333333,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2023-Q2",4.58333333333333,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2023-Q3",4.58333333333333,
"CZE","LTINTFORECAST","TOT","PC_PA","Q","2023-Q4",4.58,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2020-Q1",-0.359666666666667,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2020-Q2",-0.254,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2020-Q3",-0.361,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2020-Q4",-0.462333333333333,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2021-Q1",-0.251333333333333,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2021-Q2",0.074,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2021-Q3",-0.073,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2021-Q4",0.007,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2022-Q1",0.379,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2022-Q2",1.391,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2022-Q3",1.72033333333333,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2022-Q4",2.42066666666667,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2023-Q1",2.50966666666667,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2023-Q2",2.69,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2023-Q3",2.99,
"DNK","LTINTFORECAST","TOT","PC_PA","Q","2023-Q4",3.19,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2020-Q1",-0.14,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2020-Q2",-0.086666666666667,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2020-Q3",-0.253333333333333,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2020-Q4",-0.396666666666667,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2021-Q1",-0.239978177,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2021-Q2",-0.0159255556666667,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2021-Q3",-0.131515151333333,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2021-Q4",0.00711473700000009,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2022-Q1",0.468575797,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2022-Q2",1.567079365,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2022-Q3",1.91986595166667,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2022-Q4",2.76409251066667,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2023-Q1",2.897998813,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2023-Q2",3.08243030166667,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2023-Q3",3.38243030166667,
"FIN","LTINTFORECAST","TOT","PC_PA","Q","2023-Q4",3.58243030166667,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2020-Q1",-0.0808666666666668,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2020-Q2",-0.00543333333333362,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2020-Q3",-0.175433333333333,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2020-Q4",-0.319333333333333,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2021-Q1",-0.175233333333333,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2021-Q2",0.118066666666667,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2021-Q3",-0.0267,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2021-Q4",0.113333333333333,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2022-Q1",0.59,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2022-Q2",1.62,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2022-Q3",1.93666666666667,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2022-Q4",2.65666666666667,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2023-Q1",2.82666666666667,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2023-Q2",3.01109815533333,
"FRA","LTINTFORECAST","TOT","PC_PA","Q","2023-Q3",3.31109815533333,
