LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
EA19,LTINT,TOT,PC_PA,M,1990-01,10.4502,
EA19,LTINT,TOT,PC_PA,M,1990-02,10.9205,
EA19,LTINT,TOT,PC_PA,M,1990-03,11.0549,
EA19,LTINT,TOT,PC_PA,M,1990-04,10.8743,
EA19,LTINT,TOT,PC_PA,M,1990-05,10.7959,
EA19,LTINT,TOT,PC_PA,M,1990-06,10.7063,
EA19,LTINT,TOT,PC_PA,M,1990-07,10.5673,
EA19,LTINT,TOT,PC_PA,M,1990-08,10.9569,
EA19,LTINT,TOT,PC_PA,M,1990-09,11.1356,
EA19,LTINT,TOT,PC_PA,M,1990-10,11.079,
EA19,LTINT,TOT,PC_PA,M,1990-11,10.9892,
EA19,LTINT,TOT,PC_PA,M,1990-12,10.8649,
EA19,LTINT,TOT,PC_PA,M,1991-01,10.8449,
EA19,LTINT,TOT,PC_PA,M,1991-02,10.4413,
EA19,LTINT,TOT,PC_PA,M,1991-03,10.3725,
EA19,LTINT,TOT,PC_PA,M,1991-04,10.1174,
EA19,LTINT,TOT,PC_PA,M,1991-05,9.9855,
EA19,LTINT,TOT,PC_PA,M,1991-06,10.0527,
EA19,LTINT,TOT,PC_PA,M,1991-07,10.2246,
EA19,LTINT,TOT,PC_PA,M,1991-08,10.2017,
EA19,LTINT,TOT,PC_PA,M,1991-09,10.0021,
EA19,LTINT,TOT,PC_PA,M,1991-10,9.8719,
EA19,LTINT,TOT,PC_PA,M,1991-11,9.9183,
EA19,LTINT,TOT,PC_PA,M,1991-12,9.8923,
EA19,LTINT,TOT,PC_PA,M,1992-01,9.6114,
EA19,LTINT,TOT,PC_PA,M,1992-02,9.547,
EA19,LTINT,TOT,PC_PA,M,1992-03,9.5812,
EA19,LTINT,TOT,PC_PA,M,1992-04,9.6231,
EA19,LTINT,TOT,PC_PA,M,1992-05,9.5797,
EA19,LTINT,TOT,PC_PA,M,1992-06,9.8254,
EA19,LTINT,TOT,PC_PA,M,1992-07,10.0331,
EA19,LTINT,TOT,PC_PA,M,1992-08,10.1014,
EA19,LTINT,TOT,PC_PA,M,1992-09,10.0219,
EA19,LTINT,TOT,PC_PA,M,1992-10,10.2245,
EA19,LTINT,TOT,PC_PA,M,1992-11,9.8813,
EA19,LTINT,TOT,PC_PA,M,1992-12,9.9328,
EA19,LTINT,TOT,PC_PA,M,1993-01,9.7027,
EA19,LTINT,TOT,PC_PA,M,1993-02,9.403,
EA19,LTINT,TOT,PC_PA,M,1993-03,9.1458,
EA19,LTINT,TOT,PC_PA,M,1993-04,9.1559,
EA19,LTINT,TOT,PC_PA,M,1993-05,9.0423,
EA19,LTINT,TOT,PC_PA,M,1993-06,8.7796,
EA19,LTINT,TOT,PC_PA,M,1993-07,8.4018,
EA19,LTINT,TOT,PC_PA,M,1993-08,7.9197,
EA19,LTINT,TOT,PC_PA,M,1993-09,7.612,
