LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GBR,LTINT,TOT,PC_PA,M,1990-01,10.89,
GBR,LTINT,TOT,PC_PA,M,1990-02,11.33,
GBR,LTINT,TOT,PC_PA,M,1990-03,12.42,
GBR,LTINT,TOT,PC_PA,M,1990-04,12.74,
GBR,LTINT,TOT,PC_PA,M,1990-05,12.41,
GBR,LTINT,TOT,PC_PA,M,1990-06,11.8,
GBR,LTINT,TOT,PC_PA,M,1990-07,11.84,
GBR,LTINT,TOT,PC_PA,M,1990-08,12.15,
GBR,LTINT,TOT,PC_PA,M,1990-09,12.1,
GBR,LTINT,TOT,PC_PA,M,1990-10,11.74,
GBR,LTINT,TOT,PC_PA,M,1990-11,11.37,
GBR,LTINT,TOT,PC_PA,M,1990-12,10.84,
GBR,LTINT,TOT,PC_PA,M,1991-01,10.59,
GBR,LTINT,TOT,PC_PA,M,1991-02,10.13,
GBR,LTINT,TOT,PC_PA,M,1991-03,10.29,
GBR,LTINT,TOT,PC_PA,M,1991-04,10.19,
GBR,LTINT,TOT,PC_PA,M,1991-05,10.38,
GBR,LTINT,TOT,PC_PA,M,1991-06,10.58,
GBR,LTINT,TOT,PC_PA,M,1991-07,10.28,
GBR,LTINT,TOT,PC_PA,M,1991-08,10.03,
GBR,LTINT,TOT,PC_PA,M,1991-09,9.64,
GBR,LTINT,TOT,PC_PA,M,1991-10,9.72,
GBR,LTINT,TOT,PC_PA,M,1991-11,9.77,
GBR,LTINT,TOT,PC_PA,M,1991-12,9.66,
GBR,LTINT,TOT,PC_PA,M,1992-01,9.46,
GBR,LTINT,TOT,PC_PA,M,1992-02,9.3,
GBR,LTINT,TOT,PC_PA,M,1992-03,9.68,
GBR,LTINT,TOT,PC_PA,M,1992-04,9.43,
GBR,LTINT,TOT,PC_PA,M,1992-05,9.02,
GBR,LTINT,TOT,PC_PA,M,1992-06,9.12,
GBR,LTINT,TOT,PC_PA,M,1992-07,9.05,
GBR,LTINT,TOT,PC_PA,M,1992-08,9.35,
GBR,LTINT,TOT,PC_PA,M,1992-09,9.19,
GBR,LTINT,TOT,PC_PA,M,1992-10,8.65,
GBR,LTINT,TOT,PC_PA,M,1992-11,8.19,
GBR,LTINT,TOT,PC_PA,M,1992-12,8.32,
GBR,LTINT,TOT,PC_PA,M,1993-01,8.29,
GBR,LTINT,TOT,PC_PA,M,1993-02,7.95,
GBR,LTINT,TOT,PC_PA,M,1993-03,7.72,
GBR,LTINT,TOT,PC_PA,M,1993-04,7.89,
GBR,LTINT,TOT,PC_PA,M,1993-05,8.15,
GBR,LTINT,TOT,PC_PA,M,1993-06,7.96,
GBR,LTINT,TOT,PC_PA,M,1993-07,7.62,
GBR,LTINT,TOT,PC_PA,M,1993-08,7.07,
GBR,LTINT,TOT,PC_PA,M,1993-09,6.96,
GBR,LTINT,TOT,PC_PA,M,1993-10,6.87,
GBR,LTINT,TOT,PC_PA,M,1993-11,6.85,
GBR,LTINT,TOT,PC_PA,M,1993-12,6.4253,
GBR,LTINT,TOT,PC_PA,M,1994-01,6.3794,
GBR,LTINT,TOT,PC_PA,M,1994-02,6.7572,
GBR,LTINT,TOT,PC_PA,M,1994-03,7.417,
GBR,LTINT,TOT,PC_PA,M,1994-04,7.8401,
GBR,LTINT,TOT,PC_PA,M,1994-05,8.2825,
GBR,LTINT,TOT,PC_PA,M,1994-06,8.7105,
GBR,LTINT,TOT,PC_PA,M,1994-07,8.533,
GBR,LTINT,TOT,PC_PA,M,1994-08,8.6524,
GBR,LTINT,TOT,PC_PA,M,1994-09,8.8959,
GBR,LTINT,TOT,PC_PA,M,1994-10,8.7797,
GBR,LTINT,TOT,PC_PA,M,1994-11,8.6361,
GBR,LTINT,TOT,PC_PA,M,1994-12,8.5814,
GBR,LTINT,TOT,PC_PA,M,1995-01,8.7349,
GBR,LTINT,TOT,PC_PA,M,1995-02,8.6557,
GBR,LTINT,TOT,PC_PA,M,1995-03,8.5938,
GBR,LTINT,TOT,PC_PA,M,1995-04,8.4378,
GBR,LTINT,TOT,PC_PA,M,1995-05,8.1802,
GBR,LTINT,TOT,PC_PA,M,1995-06,8.1097,
GBR,LTINT,TOT,PC_PA,M,1995-07,8.2613,
GBR,LTINT,TOT,PC_PA,M,1995-08,8.1169,
GBR,LTINT,TOT,PC_PA,M,1995-09,7.9486,
GBR,LTINT,TOT,PC_PA,M,1995-10,8.0967,
GBR,LTINT,TOT,PC_PA,M,1995-11,7.7752,
GBR,LTINT,TOT,PC_PA,M,1995-12,7.4926,
GBR,LTINT,TOT,PC_PA,M,1996-01,7.4408,
GBR,LTINT,TOT,PC_PA,M,1996-02,7.7618,
GBR,LTINT,TOT,PC_PA,M,1996-03,8.057,
GBR,LTINT,TOT,PC_PA,M,1996-04,8.0602,
GBR,LTINT,TOT,PC_PA,M,1996-05,8.0871,
GBR,LTINT,TOT,PC_PA,M,1996-06,8.054,
GBR,LTINT,TOT,PC_PA,M,1996-07,7.9162,
GBR,LTINT,TOT,PC_PA,M,1996-08,7.8219,
GBR,LTINT,TOT,PC_PA,M,1996-09,7.8151,
GBR,LTINT,TOT,PC_PA,M,1996-10,7.5413,
GBR,LTINT,TOT,PC_PA,M,1996-11,7.5952,
GBR,LTINT,TOT,PC_PA,M,1996-12,7.5716,
GBR,LTINT,TOT,PC_PA,M,1997-01,7.5552,
GBR,LTINT,TOT,PC_PA,M,1997-02,7.1962,
GBR,LTINT,TOT,PC_PA,M,1997-03,7.4544,
GBR,LTINT,TOT,PC_PA,M,1997-04,7.638,
GBR,LTINT,TOT,PC_PA,M,1997-05,7.1681,
GBR,LTINT,TOT,PC_PA,M,1997-06,7.1418,
GBR,LTINT,TOT,PC_PA,M,1997-07,7.0577,
GBR,LTINT,TOT,PC_PA,M,1997-08,7.0893,
GBR,LTINT,TOT,PC_PA,M,1997-09,6.8216,
GBR,LTINT,TOT,PC_PA,M,1997-10,6.5109,
GBR,LTINT,TOT,PC_PA,M,1997-11,6.624,
GBR,LTINT,TOT,PC_PA,M,1997-12,6.3739,
GBR,LTINT,TOT,PC_PA,M,1998-01,6.0978,
GBR,LTINT,TOT,PC_PA,M,1998-02,6.0461,
GBR,LTINT,TOT,PC_PA,M,1998-03,5.992,
GBR,LTINT,TOT,PC_PA,M,1998-04,5.8249,
GBR,LTINT,TOT,PC_PA,M,1998-05,5.8648,
GBR,LTINT,TOT,PC_PA,M,1998-06,5.7743,
GBR,LTINT,TOT,PC_PA,M,1998-07,5.8319,
GBR,LTINT,TOT,PC_PA,M,1998-08,5.5706,
GBR,LTINT,TOT,PC_PA,M,1998-09,5.151,
GBR,LTINT,TOT,PC_PA,M,1998-10,5.0114,
GBR,LTINT,TOT,PC_PA,M,1998-11,4.9292,
GBR,LTINT,TOT,PC_PA,M,1998-12,4.5175,
GBR,LTINT,TOT,PC_PA,M,1999-01,4.2868,
GBR,LTINT,TOT,PC_PA,M,1999-02,4.4319,
GBR,LTINT,TOT,PC_PA,M,1999-03,4.6554,
GBR,LTINT,TOT,PC_PA,M,1999-04,4.592,
GBR,LTINT,TOT,PC_PA,M,1999-05,4.9068,
GBR,LTINT,TOT,PC_PA,M,1999-06,5.1716,
GBR,LTINT,TOT,PC_PA,M,1999-07,5.3721,
GBR,LTINT,TOT,PC_PA,M,1999-08,5.4312,
GBR,LTINT,TOT,PC_PA,M,1999-09,5.6909,
GBR,LTINT,TOT,PC_PA,M,1999-10,5.8801,
GBR,LTINT,TOT,PC_PA,M,1999-11,5.3145,
GBR,LTINT,TOT,PC_PA,M,1999-12,5.389,
GBR,LTINT,TOT,PC_PA,M,2000-01,5.8227,
GBR,LTINT,TOT,PC_PA,M,2000-02,5.6347,
GBR,LTINT,TOT,PC_PA,M,2000-03,5.3707,
GBR,LTINT,TOT,PC_PA,M,2000-04,5.3213,
GBR,LTINT,TOT,PC_PA,M,2000-05,5.4033,
GBR,LTINT,TOT,PC_PA,M,2000-06,5.2097,
GBR,LTINT,TOT,PC_PA,M,2000-07,5.2388,
GBR,LTINT,TOT,PC_PA,M,2000-08,5.3312,
GBR,LTINT,TOT,PC_PA,M,2000-09,5.3873,
GBR,LTINT,TOT,PC_PA,M,2000-10,5.2179,
GBR,LTINT,TOT,PC_PA,M,2000-11,5.0983,
GBR,LTINT,TOT,PC_PA,M,2000-12,4.9118,
GBR,LTINT,TOT,PC_PA,M,2001-01,4.8471,
GBR,LTINT,TOT,PC_PA,M,2001-02,4.8248,
GBR,LTINT,TOT,PC_PA,M,2001-03,4.703,
GBR,LTINT,TOT,PC_PA,M,2001-04,4.9468,
GBR,LTINT,TOT,PC_PA,M,2001-05,5.1153,
GBR,LTINT,TOT,PC_PA,M,2001-06,5.1951,
GBR,LTINT,TOT,PC_PA,M,2001-07,5.2037,
GBR,LTINT,TOT,PC_PA,M,2001-08,4.9854,
GBR,LTINT,TOT,PC_PA,M,2001-09,4.9876,
GBR,LTINT,TOT,PC_PA,M,2001-10,4.8253,
GBR,LTINT,TOT,PC_PA,M,2001-11,4.6271,
GBR,LTINT,TOT,PC_PA,M,2001-12,4.8928,
GBR,LTINT,TOT,PC_PA,M,2002-01,4.9171,
GBR,LTINT,TOT,PC_PA,M,2002-02,4.9251,
GBR,LTINT,TOT,PC_PA,M,2002-03,5.2202,
GBR,LTINT,TOT,PC_PA,M,2002-04,5.2331,
GBR,LTINT,TOT,PC_PA,M,2002-05,5.2689,
GBR,LTINT,TOT,PC_PA,M,2002-06,5.099,
GBR,LTINT,TOT,PC_PA,M,2002-07,5.0027,
