LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
JPN,LTINT,TOT,PC_PA,M,1990-01,6.449,
JPN,LTINT,TOT,PC_PA,M,1990-02,6.778,
JPN,LTINT,TOT,PC_PA,M,1990-03,6.899,
JPN,LTINT,TOT,PC_PA,M,1990-04,6.906,
JPN,LTINT,TOT,PC_PA,M,1990-05,6.508,
JPN,LTINT,TOT,PC_PA,M,1990-06,6.421,
JPN,LTINT,TOT,PC_PA,M,1990-07,6.772,
JPN,LTINT,TOT,PC_PA,M,1990-08,7.62,
JPN,LTINT,TOT,PC_PA,M,1990-09,8.032,
JPN,LTINT,TOT,PC_PA,M,1990-10,7.6,
JPN,LTINT,TOT,PC_PA,M,1990-11,7.08,
JPN,LTINT,TOT,PC_PA,M,1990-12,6.454,
JPN,LTINT,TOT,PC_PA,M,1991-01,6.432,
JPN,LTINT,TOT,PC_PA,M,1991-02,6.309,
JPN,LTINT,TOT,PC_PA,M,1991-03,6.591,
JPN,LTINT,TOT,PC_PA,M,1991-04,6.64,
JPN,LTINT,TOT,PC_PA,M,1991-05,6.637,
JPN,LTINT,TOT,PC_PA,M,1991-06,6.735,
JPN,LTINT,TOT,PC_PA,M,1991-07,6.67,
JPN,LTINT,TOT,PC_PA,M,1991-08,6.414,
JPN,LTINT,TOT,PC_PA,M,1991-09,6.081,
JPN,LTINT,TOT,PC_PA,M,1991-10,5.885,
JPN,LTINT,TOT,PC_PA,M,1991-11,5.927,
JPN,LTINT,TOT,PC_PA,M,1991-12,5.719,
JPN,LTINT,TOT,PC_PA,M,1992-01,5.449,
JPN,LTINT,TOT,PC_PA,M,1992-02,5.578,
JPN,LTINT,TOT,PC_PA,M,1992-03,5.531,
JPN,LTINT,TOT,PC_PA,M,1992-04,5.71,
JPN,LTINT,TOT,PC_PA,M,1992-05,5.739,
JPN,LTINT,TOT,PC_PA,M,1992-06,5.64,
JPN,LTINT,TOT,PC_PA,M,1992-07,5.408,
JPN,LTINT,TOT,PC_PA,M,1992-08,5.112,
JPN,LTINT,TOT,PC_PA,M,1992-09,5.021,
JPN,LTINT,TOT,PC_PA,M,1992-10,5.015,
JPN,LTINT,TOT,PC_PA,M,1992-11,4.868,
JPN,LTINT,TOT,PC_PA,M,1992-12,4.848,
JPN,LTINT,TOT,PC_PA,M,1993-01,4.723,
JPN,LTINT,TOT,PC_PA,M,1993-02,4.409,
JPN,LTINT,TOT,PC_PA,M,1993-03,4.318,
JPN,LTINT,TOT,PC_PA,M,1993-04,4.593,
JPN,LTINT,TOT,PC_PA,M,1993-05,4.943,
JPN,LTINT,TOT,PC_PA,M,1993-06,4.836,
JPN,LTINT,TOT,PC_PA,M,1993-07,4.517,
JPN,LTINT,TOT,PC_PA,M,1993-08,4.407,
JPN,LTINT,TOT,PC_PA,M,1993-09,4.016,
JPN,LTINT,TOT,PC_PA,M,1993-10,3.931,
JPN,LTINT,TOT,PC_PA,M,1993-11,3.762,
JPN,LTINT,TOT,PC_PA,M,1993-12,3.396,
