LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,LTINT,TOT,PC_PA,M,1990-01,8.21,
USA,LTINT,TOT,PC_PA,M,1990-02,8.47,
USA,LTINT,TOT,PC_PA,M,1990-03,8.59,
USA,LTINT,TOT,PC_PA,M,1990-04,8.79,
USA,LTINT,TOT,PC_PA,M,1990-05,8.76,
USA,LTINT,TOT,PC_PA,M,1990-06,8.48,
USA,LTINT,TOT,PC_PA,M,1990-07,8.47,
USA,LTINT,TOT,PC_PA,M,1990-08,8.75,
USA,LTINT,TOT,PC_PA,M,1990-09,8.89,
USA,LTINT,TOT,PC_PA,M,1990-10,8.72,
USA,LTINT,TOT,PC_PA,M,1990-11,8.39,
USA,LTINT,TOT,PC_PA,M,1990-12,8.08,
USA,LTINT,TOT,PC_PA,M,1991-01,8.09,
USA,LTINT,TOT,PC_PA,M,1991-02,7.85,
USA,LTINT,TOT,PC_PA,M,1991-03,8.11,
USA,LTINT,TOT,PC_PA,M,1991-04,8.04,
USA,LTINT,TOT,PC_PA,M,1991-05,8.07,
USA,LTINT,TOT,PC_PA,M,1991-06,8.28,
USA,LTINT,TOT,PC_PA,M,1991-07,8.27,
USA,LTINT,TOT,PC_PA,M,1991-08,7.9,
USA,LTINT,TOT,PC_PA,M,1991-09,7.65,
USA,LTINT,TOT,PC_PA,M,1991-10,7.53,
USA,LTINT,TOT,PC_PA,M,1991-11,7.42,
USA,LTINT,TOT,PC_PA,M,1991-12,7.09,
USA,LTINT,TOT,PC_PA,M,1992-01,7.03,
USA,LTINT,TOT,PC_PA,M,1992-02,7.34,
USA,LTINT,TOT,PC_PA,M,1992-03,7.54,
USA,LTINT,TOT,PC_PA,M,1992-04,7.48,
USA,LTINT,TOT,PC_PA,M,1992-05,7.39,
USA,LTINT,TOT,PC_PA,M,1992-06,7.26,
USA,LTINT,TOT,PC_PA,M,1992-07,6.84,
USA,LTINT,TOT,PC_PA,M,1992-08,6.59,
USA,LTINT,TOT,PC_PA,M,1992-09,6.42,
USA,LTINT,TOT,PC_PA,M,1992-10,6.59,
USA,LTINT,TOT,PC_PA,M,1992-11,6.87,
USA,LTINT,TOT,PC_PA,M,1992-12,6.77,
USA,LTINT,TOT,PC_PA,M,1993-01,6.6,
USA,LTINT,TOT,PC_PA,M,1993-02,6.26,
USA,LTINT,TOT,PC_PA,M,1993-03,5.98,
USA,LTINT,TOT,PC_PA,M,1993-04,5.97,
USA,LTINT,TOT,PC_PA,M,1993-05,6.04,
USA,LTINT,TOT,PC_PA,M,1993-06,5.96,
USA,LTINT,TOT,PC_PA,M,1993-07,5.81,
USA,LTINT,TOT,PC_PA,M,1993-08,5.68,
USA,LTINT,TOT,PC_PA,M,1993-09,5.36,
USA,LTINT,TOT,PC_PA,M,1993-10,5.33,
USA,LTINT,TOT,PC_PA,M,1993-11,5.72,
USA,LTINT,TOT,PC_PA,M,1993-12,5.77,
USA,LTINT,TOT,PC_PA,M,1994-01,5.75,
USA,LTINT,TOT,PC_PA,M,1994-02,5.97,
USA,LTINT,TOT,PC_PA,M,1994-03,6.48,
USA,LTINT,TOT,PC_PA,M,1994-04,6.97,
USA,LTINT,TOT,PC_PA,M,1994-05,7.18,
USA,LTINT,TOT,PC_PA,M,1994-06,7.1,
USA,LTINT,TOT,PC_PA,M,1994-07,7.3,
USA,LTINT,TOT,PC_PA,M,1994-08,7.24,
USA,LTINT,TOT,PC_PA,M,1994-09,7.46,
USA,LTINT,TOT,PC_PA,M,1994-10,7.74,
USA,LTINT,TOT,PC_PA,M,1994-11,7.96,
USA,LTINT,TOT,PC_PA,M,1994-12,7.81,
USA,LTINT,TOT,PC_PA,M,1995-01,7.78,
USA,LTINT,TOT,PC_PA,M,1995-02,7.47,
USA,LTINT,TOT,PC_PA,M,1995-03,7.2,
USA,LTINT,TOT,PC_PA,M,1995-04,7.06,
